Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'CS182-final-project'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# each encryption key has 1024 plaintext/ciphertext pairs
# 256 batch size * 2048 block size * 1 gradient_accumulation_steps = 524,288
batch_size = 256
block_size = 2048
gradient_accumulation_steps = 1

# this makes total number of tokens be ~21M, with ~10M input/output pairs
max_iters = 1000
lr_decay_iters = 1000

# eval stuff
eval_interval = 100
eval_iters = 50
log_interval = 1

# weight decay
weight_decay = 1e-1

Overriding: wandb_log = False
Overriding: wandb_run_name = lr-1e-1
Overriding: learning_rate = 0.1
tokens per iteration will be: 524,288
Using vocab size of 28 (a-z + separators)
/pscratch/sd/a/adityat/CS182-project/train.py:259: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Initializing a new model from scratch
number of parameters: 6.30M
num decayed parameter tensors: 34, with 6,822,912 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 224: loss 0.0042, time 532.12ms, mfu 27.50%
iter 225: loss 0.0044, time 529.97ms, mfu 27.54%
iter 226: loss 0.0043, time 530.68ms, mfu 27.58%
iter 227: loss 0.0039, time 528.07ms, mfu 27.63%
iter 228: loss 0.0040, time 531.89ms, mfu 27.65%
iter 229: loss 0.0038, time 529.72ms, mfu 27.68%
iter 230: loss 0.0042, time 531.10ms, mfu 27.70%
iter 231: loss 0.0040, time 530.84ms, mfu 27.72%
iter 232: loss 0.0039, time 531.02ms, mfu 27.74%
iter 233: loss 0.0040, time 531.34ms, mfu 27.75%
iter 234: loss 0.0042, time 527.46ms, mfu 27.79%
iter 235: loss 0.0038, time 529.06ms, mfu 27.81%
iter 236: loss 0.0037, time 526.96ms, mfu 27.84%
iter 237: loss 0.0035, time 530.78ms, mfu 27.85%
iter 238: loss 0.0035, time 530.53ms, mfu 27.85%
iter 239: loss 0.0035, time 537.82ms, mfu 27.82%
iter 240: loss 0.0036, time 531.17ms, mfu 27.83%
iter 241: loss 0.0034, time 533.10ms, mfu 27.82%
iter 242: loss 0.0035, time 557.92ms, mfu 27.70%
iter 243: loss 0.0035, time 531.04ms, mfu 27.72%
iter 244: loss 0.0050, time 528.64ms, mfu 27.75%
iter 245: loss 0.0033, time 529.25ms, mfu 27.77%
iter 246: loss 0.0034, time 531.64ms, mfu 27.78%
iter 247: loss 0.0034, time 531.06ms, mfu 27.79%
iter 248: loss 0.0034, time 531.22ms, mfu 27.80%
iter 249: loss 0.0038, time 534.52ms, mfu 27.79%
iter 250: loss 0.0037, time 534.52ms, mfu 27.78%
iter 251: loss 0.0035, time 532.85ms, mfu 27.79%
iter 252: loss 0.0034, time 532.34ms, mfu 27.79%
iter 253: loss 0.0033, time 540.29ms, mfu 27.75%
iter 254: loss 0.0034, time 537.89ms, mfu 27.73%
iter 255: loss 0.0045, time 531.06ms, mfu 27.75%
iter 256: loss 0.0048, time 535.01ms, mfu 27.74%
iter 257: loss 0.0045, time 528.81ms, mfu 27.77%
iter 258: loss 0.0043, time 533.21ms, mfu 27.77%
iter 259: loss 0.0037, time 532.04ms, mfu 27.78%
iter 260: loss 0.0034, time 534.64ms, mfu 27.77%
iter 261: loss 0.0035, time 532.34ms, mfu 27.78%
iter 262: loss 0.0034, time 529.93ms, mfu 27.79%
iter 263: loss 0.0032, time 527.49ms, mfu 27.82%
iter 264: loss 0.0035, time 532.52ms, mfu 27.82%
iter 265: loss 0.0040, time 530.24ms, mfu 27.83%
iter 266: loss 0.0035, time 530.47ms, mfu 27.84%
iter 267: loss 0.0036, time 530.87ms, mfu 27.85%
iter 268: loss 0.0058, time 536.38ms, mfu 27.82%
iter 269: loss 0.0834, time 530.21ms, mfu 27.84%
iter 270: loss 0.2629, time 530.85ms, mfu 27.84%
iter 271: loss 3.3162, time 528.32ms, mfu 27.86%
iter 272: loss 1.3620, time 533.75ms, mfu 27.85%
iter 273: loss 1.1967, time 531.22ms, mfu 27.85%
iter 274: loss 1.1881, time 529.83ms, mfu 27.86%
iter 275: loss 0.5700, time 530.35ms, mfu 27.87%
iter 276: loss 0.4527, time 531.90ms, mfu 27.87%
iter 277: loss 0.2955, time 533.02ms, mfu 27.86%
iter 278: loss 0.2773, time 530.80ms, mfu 27.87%
iter 279: loss 0.2327, time 537.42ms, mfu 27.84%
iter 280: loss 0.1545, time 536.58ms, mfu 27.81%
iter 281: loss 0.1851, time 532.69ms, mfu 27.81%
iter 282: loss 0.1199, time 532.93ms, mfu 27.81%
iter 283: loss 0.0945, time 532.96ms, mfu 27.81%
iter 284: loss 0.0933, time 530.59ms, mfu 27.82%
iter 285: loss 0.0787, time 530.53ms, mfu 27.83%
iter 286: loss 0.0683, time 527.69ms, mfu 27.85%
iter 287: loss 0.0563, time 533.39ms, mfu 27.85%
iter 288: loss 0.0524, time 537.31ms, mfu 27.82%
iter 289: loss 0.0462, time 534.30ms, mfu 27.81%
iter 290: loss 0.0413, time 531.54ms, mfu 27.81%
iter 291: loss 0.0415, time 528.82ms, mfu 27.83%
iter 292: loss 0.0417, time 535.65ms, mfu 27.82%
iter 293: loss 0.0386, time 534.43ms, mfu 27.81%
iter 294: loss 0.0355, time 529.45ms, mfu 27.82%
iter 295: loss 0.0336, time 531.01ms, mfu 27.83%
iter 296: loss 0.0319, time 533.30ms, mfu 27.82%
iter 297: loss 0.0319, time 534.04ms, mfu 27.82%
iter 298: loss 0.0304, time 535.60ms, mfu 27.80%
iter 299: loss 0.0292, time 528.82ms, mfu 27.82%
step 300: train loss 0.0282, val loss 0.0287
iter 300: loss 0.0295, time 36380.05ms, mfu 25.08%
iter 301: loss 0.0266, time 528.55ms, mfu 25.37%
iter 302: loss 0.0268, time 525.83ms, mfu 25.65%
iter 303: loss 0.0256, time 528.57ms, mfu 25.89%
iter 304: loss 0.0233, time 534.39ms, mfu 26.07%
iter 305: loss 0.0223, time 533.63ms, mfu 26.24%
iter 306: loss 0.0205, time 528.13ms, mfu 26.42%
iter 307: loss 0.0203, time 531.16ms, mfu 26.57%
iter 308: loss 0.0183, time 534.00ms, mfu 26.69%
iter 309: loss 0.0154, time 532.23ms, mfu 26.80%
iter 310: loss 0.0145, time 535.41ms, mfu 26.89%
iter 311: loss 0.0134, time 531.11ms, mfu 26.99%
iter 312: loss 0.0128, time 532.20ms, mfu 27.07%
iter 313: loss 0.0109, time 535.49ms, mfu 27.13%
iter 314: loss 0.0109, time 533.01ms, mfu 27.20%
iter 315: loss 0.0102, time 531.45ms, mfu 27.26%
iter 316: loss 0.0087, time 529.07ms, mfu 27.34%
iter 317: loss 0.0088, time 529.19ms, mfu 27.40%
iter 318: loss 0.0087, time 542.52ms, mfu 27.39%
iter 319: loss 0.0085, time 534.76ms, mfu 27.42%
iter 320: loss 0.0085, time 529.55ms, mfu 27.48%
